title,category,original_price,discount_price,quantity,unit,expiry_date,description
Яблоки Фуджи,fruits,15000,12000,50,кг,2024-12-31,Свежие импортные яблоки из Польши
Молоко 3.2%,dairy,8000,7500,100,л,2024-12-20,Фермерское молоко высокого качества
Хлеб белый,bakery,3000,2500,30,шт,2024-12-15,Свежий хлеб из пшеничной муки
Курица охлажденная,meat,25000,22000,20,кг,2024-12-18,Домашняя курица без антибиотиков
Помидоры черри,vegetables,12000,10000,15,кг,2024-12-22,Органические томаты
Сыр Российский,dairy,45000,40000,10,кг,2025-01-15,Твердый сыр 45% жирности
Бананы,fruits,18000,16000,40,кг,,Эквадорские бананы
Картофель,vegetables,5000,4500,100,кг,,Местный картофель крупный
Колбаса докторская,meat,35000,32000,25,кг,2024-12-25,ГОСТ колбаса высшего сорта
Йогурт натуральный,dairy,6000,5500,50,шт,2024-12-20,Йогурт 3.2% без добавок
